	X1.6.Anhydro.beta.D.glucose	X1.Methylnicotinamide	X2.Aminobutyrate	X2.Hydroxyisobutyrate	X2.Oxoglutarate	X3.Aminoisobutyrate	X3.Hydroxybutyrate	X3.Hydroxyisovalerate	X3.Indoxylsulfate	X4.Hydroxyphenylacetate	Acetate	Acetone	Adipate	Alanine	Asparagine	Betaine	Carnitine	Citrate	Creatine	Creatinine	Dimethylamine	Ethanolamine	Formate	Fucose	Fumarate	Glucose	Glutamine	Glycine	Glycolate	Guanidoacetate	Hippurate	Histidine	Hypoxanthine	Isoleucine	Lactate	Leucine	Lysine	Methylamine	Methylguanidine	N.N.Dimethylglycine	O.Acetylcarnitine	Pantothenate	Pyroglutamate	Pyruvate	Quinolinate	Serine	Succinate	Sucrose	Tartrate	Taurine	Threonine	Trigonelline	Trimethylamine.N.oxide	Tryptophan	Tyrosine	Uracil	Valine	Xylose	cis.Aconitate	myo.Inositol	trans.Aconitate	pi.Methylhistidine	tau.Methylhistidine
PIF_178	3.73409179693548	4.19524514715783	2.98214032003452	3.29768700529249	4.28386238588665	7.30067535958801	4.05750767217013	2.40423874672055	6.34176924403887	4.79826681595	4.84788104279483	2.35042242240821	3.66586667980486	5.75317563159212	5.0762357511802	4.7090796493786	5.58375943205647	8.22026853759752	5.28508013976602	9.71006055800985	6.45157565632947	6.47154226192519	6.09225965714288	5.8229571341474	2.1621729392773	5.98252470553851	6.77114486531935	7.62048937730012	6.53146054817375	5.04645278696165	8.43021817740183	6.83107939718422	4.59015806586759	1.88403474533723	4.67934958416234	3.7635229971097	4.99680678615972	3.97893371071077	2.39516427428714	3.19212108755938	3.98861360758986	3.28802868355652	6.08228740118158	3.09648217665413	5.11601580955409	5.65350620678147	5.04645278696165	3.83189696094886	4.59015806586759	7.56052307538874	5.22537025879197	6.85105793530359	7.66047240773871	5.56383051422876	5.6734263546413	4.71894520024694	4.47152450111817	4.29374171980631	5.47420158137799	4.91734973004026	3.96915919679896	5.06632225551051	5.0861755733416
PIF_087	4.14598779537394	5.83293763887974	3.23040906068187	3.75373042643355	4.22478785824739	4.76856373289653	3.80265446837278	4.39247189253542	5.91271891453539	6.07230693495208	5.36466674708957	2.55100645149252	5.79304409572428	6.77114486531935	5.06632225551051	5.50407057865816	4.79826681595	7.87038364622455	5.36466674708957	9.67006320952258	6.41163762742169	6.19205569395168	5.5339426953643	5.29501190953931	2.99172425215645	9.07011462205893	6.40166840956332	7.01089833789901	6.48153118641403	4.7090796493786	7.46057660820015	6.74118107915582	4.42208834024773	2.21593728626837	5.91271891453539	4.36284381525711	5.65350620678147	3.20152618653309	2.1621729392773	4.48141937855192	3.93963817246112	5.23532431722011	6.08228740118158	3.63679637424371	4.30365960559978	5.97256201460492	5.50407057865816	6.13218255404686	3.5201649007262	7.1407937140678	5.29501190953931	5.34477147091992	6.46156192195946	4.4320065669789	5.12598574378343	3.87099265587015	4.7090796493786	5.26517414795478	5.81299555962952	5.93264298629964	5.38458680170021	5.73324418480582	4.87763709263339
PIF_090	5.60370427924326	4.18540329316907	2.57870052907436	4.19524514715783	3.21124679770371	2.72785282839839	1.89311196348834	3.19212108755938	6.50149985865953	5.68340968484826	5.75317563159212	1.69377906086785	4.88756329650626	6.14214492668848	4.50114211556404	4.76856373289653	3.25924971900647	6.76115601530771	5.40452252539435	10.1100406400288	6.60136597906466	6.01244295349317	5.52401764664394	5.23532431722011	2.09186406167839	7.21073720940392	5.71330367053984	6.43160479648312	4.95702352464761	5.21542476845847	8.37023260083432	5.65350620678147	4.74866428562682	2.33214389523559	6.62133907165159	3.48124008933569	4.59015806586759	2.98214032003452	1.73342389221509	3.23985423125339	1.88403474533723	4.98682062933022	6.57140103539947	3.41345527905766	5.26517414795478	5.69336169982828	4.96696201630629	5.0861755733416	2.84954976337591	8.36023290166221	4.7090796493786	5.26517414795478	7.05086812255081	4.42208834024773	4.11643215868611	3.48124008933569	4.09684144242069	7.68046197357329	5.80302430930585	4.47152450111817	4.08698420781581	4.98682062933022	4.44182738779192
NETL_005_V1	5.04645278696165	3.98861360758986	5.15577405976249	4.3233376383252	7.09083488171999	6.32179294896871	5.17564112868052	3.25924971900647	6.02243012636486	5.3746300493972	3.6464937376175	5.33484214123041	4.97694061757216	6.38169756707472	5.61363892480323	5.6335745796127	5.30499502130128	9.52007327790777	4.46164617590205	9.95004761282377	6.97093662958026	6.7112171438289	6.15213677249688	6.01244295349317	4.58026255028191	6.76115601530771	7.43059445023994	8.53019825775111	4.27402374212223	4.63966822639566	6.6313164306097	6.95095843628278	5.41445460417708	3.65609796458956	5.91271891453539	4.64956977328478	5.6734263546413	3.91022138348152	4.95702352464761	3.71454720086251	5.54392666257791	3.77322060254769	6.34176924403887	4.17546361350689	4.47152450111817	7.13080282568805	4.97694061757216	4.71894520024694	6.73119708207729	7.33065419788281	5.93264298629964	6.90100253040943	7.28069030830868	5.46425544409147	5.78308644799425	3.4522073025699	4.63966822639566	4.83794718627054	7.53053900637988	5.51403340203345	4.34302589732415	5.52401764664394	5.54392666257791
PIF_115	3.14415227867226	4.31348009213877	2.81180943539306	4.44182738779192	3.52988372262348	3.42328497812616	4.35298394922115	4.25433529853104	5.11601580955409	4.59015806586759	6.01244295349317	3.81242364020539	2.77446196662146	7.02089644670882	3.77322060254769	5.97256201460492	4.45166929500233	6.75117164191318	4.66945867587045	8.8201470541713	5.49413083019029	5.90274261704718	4.74866428562682	3.29768700529249	3.02965049175745	8.83014673327869	6.07230693495208	5.98252470553851	3.31709087236516	3.98861360758986	7.05086812255081	5.79304409572428	4.21493845852052	3.71454720086251	8.20027453147283	4.62976523284347	4.81810177222588	3.36522472120334	1.84213567655312	3.85142338329922	3.8416005411316	4.3233376383252	5.22537025879197	2.58776403522771	3.66586667980486	5.33484214123041	4.24448722065182	4.33323022048492	1.71018781553424	6.15213677249688	4.17546361350689	4.47152450111817	5.15577405976249	4.64956977328478	4.96696201630629	3.81242364020539	5.0861755733416	5.23532431722011	4.62976523284347	6.62133907165159	4.60005713660127	4.45166929500233	4.39247189253542
PIF_110	5.36466674708957	3.49103808566194	2.96320908184843	4.40231933794164	3.89059505801453	2.91560622907471	3.49103808566194	3.58795353552398	5.21542476845847	4.89746659599062	4.41219204900561	2.73696154459663	3.26880819361641	5.47420158137799	5.06632225551051	4.21493845852052	3.71454720086251	7.58051095889402	5.30499502130128	9.6600634847549	6.42162226780652	6.13218255404686	5.75317563159212	4.82807370849769	1.80005827204275	6.2419508548139	5.70334904740685	6.18206424534616	6.06234230774142	4.07702884001241	8.18027885708423	6.13218255404686	4.15575319035074	2.21593728626837	4.73882657080077	3.39417276672519	4.79826681595	3.63679637424371	3.79278891750445	3.23040906068187	2.67138621673062	3.59786005572677	6.07230693495208	3.5201649007262	4.72889111297785	5.9625762700142	3.53950899745967	5.8229571341474	3.22087382753087	7.63048553333373	4.66945867587045	6.76115601530771	6.78113707794437	5.48417433307623	4.85779486662447	3.42328497812616	3.63679637424371	4.50114211556404	5.66348117788268	4.86768828477632	4.80819265930608	5.99248902215417	4.24448722065182
NETL_019_V1	5.02657425789776	3.62700405039585	2.2690283094652	3.77322060254769	5.41445460417708	4.04760229966997	2.53290284805626	3.28802868355652	5.41445460417708	4.09684144242069	3.95928819789526	1.44691898293633	2.24177295359729	5.8229571341474	4.28386238588665	5.0166173657738	4.85779486662447	8.28025239435088	5.95259377271899	8.99012502927147	5.81299555962952	5.38458680170021	4.22478785824739	4.03777421073371	1.74221902366792	5.47420158137799	6.33178650688394	8.14029221627283	5.6734263546413	4.62976523284347	7.77042158042857	5.79304409572428	3.28802868355652	1.1314021114911	4.87763709263339	3.69511000386457	4.85779486662447	3.24959899751104	3.39417276672519	3.7635229971097	2.36837283353205	3.16336311493794	5.21542476845847	2.86846692250811	3.86136109062592	5.62362031540416	3.10593106585207	3.28802868355652	5.17564112868052	5.9625762700142	4.91734973004026	5.24528571999623	6.42162226780652	4.61986173473108	4.59015806586759	3.35550242240003	3.69511000386457	4.53087758140624	4.86768828477632	3.50074101199842	3.24959899751104	5.45429494800239	3.13462427242061
NETCR_014_V1	3.48124008933569	2.05668455455722	1.64480505627139	2.63476240533238	3.25924971900647	2.2690283094652	1.00430160919687	2.278292400425	4.71894520024694	3.54904250892614	2.13534917361813	1.33500106673234	1.51072193949494	4.25433529853104	2.69934576047206	2.79300390698237	2.38600670113312	6.67127316322875	1.91839212016142	7.70045363360366	4.31348009213877	4.03777421073371	3.92986292355648	2.95334655705755	1.05082162483176	4.40231933794164	4.28386238588665	5.28508013976602	4.26422797389543	3.77322060254769	5.54392666257791	4.87763709263339	3.07731226054641	1.15688119679209	3.16336311493794	2.52332575969195	4.19524514715783	1.52605630349505	1.66959183525385	2.21593728626837	1.22671229129543	1.53255686809814	3.46197885392201	1.22671229129543	2.71800053195538	3.90035520056046	1.84213567655312	3.14415227867226	1.23547147138531	4.31348009213877	3.01993696225081	2.93438864331294	5.25525327707701	3.19212108755938	3.58795353552398	1.66959183525385	2.39516427428714	3.42328497812616	3.50074101199842	2.60638654732571	2.22462355152433	4.02802668118445	2.90635446240277
NETCR_014_V2	3.95928819789526	3.44265917146975	2.14476100780048	3.57822718401034	4.40231933794164	2.94391252482419	2.30558060197384	1.44691898293633	5.97256201460492	4.98682062933022	2.39516427428714	2.2690283094652	2.22462355152433	4.63966822639566	3.5201649007262	3.47165584531072	2.11866225483312	7.42059686932131	3.58795353552398	8.80015011792825	5.3746300493972	5.21542476845847	4.23454119271538	4.30365960559978	1.51732262352629	5.18559649648392	4.98682062933022	5.68340968484826	3.52988372262348	4.04760229966997	5.90274261704718	5.21542476845847	4.40231933794164	2.09186406167839	3.70499883599382	2.86846692250811	4.16557936315055	2.58776403522771	2.67138621673062	2.54160199346455	1.22671229129543	2.48657192910706	4.45166929500233	2.13534917361813	3.66586667980486	3.89059505801453	2.97246364661464	5.09613998104273	2.2690283094652	5.51403340203345	4.11643215868611	4.15575319035074	6.00247866837108	2.82137888640921	4.01818320125654	3.23985423125339	3.04879899449068	3.52988372262348	4.39247189253542	4.08698420781581	3.34603697048488	5.13591607718921	4.62976523284347
PIF_154	4.7784509981299	3.97893371071077	3.01993696225081	4.29374171980631	4.31348009213877	4.07702884001241	3.32647383546622	3.38439026334577	4.76856373289653	3.93963817246112	4.61986173473108	2.31451366385932	2.74662968306969	6.87103942604548	5.40452252539435	5.0166173657738	6.19205569395168	8.45021329253979	4.84788104279483	9.07011462205893	5.8628354045108	6.08228740118158	5.77312195273481	4.06731588983418	2.56955412384829	6.88103135467435	6.93097363465791	8.10030407712863	6.38169756707472	5.24528571999623	6.45157565632947	6.5614124883255	3.80265446837278	2.73696154459663	5.28508013976602	3.18221184049661	5.58375943205647	2.75556971707019	3.80265446837278	3.54904250892614	5.06632225551051	3.03927057556847	5.99248902215417	3.08694315360738	5.02657425789776	6.5614124883255	4.80819265930608	5.28508013976602	2.35896542643015	6.70123528747181	6.11222093574376	6.17209717846997	6.02243012636486	4.42208834024773	4.92725368515721	3.19212108755938	3.66586667980486	4.5703716804454	5.19556455897321	4.18540329316907	4.7784509981299	4.49121730591206	4.41219204900561
